"scope_section","requirement_id","description","phase","db_objects","service_or_action","controller_or_endpoint","policy_and_permission","frontend_route_and_component","queue_or_scheduler","audit_event","automated_tests","manual_verification","status","evidence"
"UI plan §5.1, §18.5","SRV-UI-AUTH-001","Every Magic Link is bound at issue and re-verified at consume to normalized email, user, account type, intended host, environment, safe redirect, audience, creation event, expiry and single-use state; a modified host, redirect, account type or environment invalidates the link","UI-00","n/a - architecture adopted only; the expand-only binding columns are added by UI-03","n/a - ADR-019 records the decision; the shipped Phase 5 MagicLinkTokenService is unchanged in UI-00","n/a - no route added, changed or removed","n/a - Magic Link host binding is an anti-substitution control on the credential, not a permission grant; ADR-017 still governs what a consumed link grants","n/a - no route or component added","n/a","none","UiSourceContractTest;MagicLinkConsumeTest;ReusedMagicLinkTest;ExpiredMagicLinkTest","Decision adopted and recorded; no Magic Link code, schema or behaviour changed in UI-00. The existing hashing, single-use atomic consume, 15-minute expiry and seven eligibility checks remain green and are preserved unchanged. Binding is owned by UI-03","architecture_adopted","docs/architecture/adr/0019-magic-link-host-binding.md; docs/proof/ui-00.md; UI-00 CLOSURE (reconciled live on the phase-ui-01-as-built-browser-audit branch): PR #50 MERGED into main as squash commit d3f6e10c1ff9490bc558199940f76fbec9497272; final PR head c09adbaf479d62e5db839ca6dd99fd42d31df57b; squash parent db3827be40194c4a3905679e5d182f014113641b; merged 2026-07-29T06:35:40Z; final CI run 30425113792 with all five required checks SUCCESS; governance comment 5114064349; reviewDecision blank under the PR-specific solo-maintainer exception with 0 submitted reviews - NOT independent reviewer approval"
"UI plan §2.2, §7.2, §7.4","SRV-UI-NAV-002","Navigation placement supersession: the Super Administrator uses header primary navigation on desktop and every other authenticated account uses left navigation, a tablet rail and an accessible mobile drawer; placement changes only, never ownership, routes, permissions or scope. The required page contract and the as-built screen inventory remain two separate registers","UI-00","n/a - architecture adopted only; no schema exists by design","n/a - ADR-020 records the decision; the runtime registry, router parity and screen contracts are UI-07","n/a - no route added, changed or removed","n/a - navigation visibility is UX only and never substitutes for authorization; removed_by_authority entries must not appear in the router at all","n/a - the shipped roleNavigation.ts and RoleNavigation.vue substrate is unchanged in UI-00","n/a","none","UiSourceContractTest;roleNavigation.spec;RoleNavigation.spec;screenInventory.spec","Decision adopted and recorded. The existing screen inventory continues to record what is BUILT; the navigation map records what is REQUIRED. UI-00 changed neither. Runtime parity is owned by UI-07 and the eight account experiences by UI-08 to UI-15","architecture_adopted","docs/architecture/adr/0020-role-navigation-registry-and-navigation-map-parity.md; docs/proof/ui-00.md; UI-00 CLOSURE (reconciled live on the phase-ui-01-as-built-browser-audit branch): PR #50 MERGED into main as squash commit d3f6e10c1ff9490bc558199940f76fbec9497272; final PR head c09adbaf479d62e5db839ca6dd99fd42d31df57b; squash parent db3827be40194c4a3905679e5d182f014113641b; merged 2026-07-29T06:35:40Z; final CI run 30425113792 with all five required checks SUCCESS; governance comment 5114064349; reviewDecision blank under the PR-specific solo-maintainer exception with 0 submitted reviews - NOT independent reviewer approval"
"UI plan §9, §12.1-§12.4","SRV-UI-THEME-001","Servana design tokens with light mode as the default: prefers-color-scheme must not select the theme, dark mode is an explicit persistent choice (per browser when anonymous, per user record when authenticated) applied before hydration, Heroicons is the single icon system and no emoji icons are permitted","UI-00","n/a - architecture adopted only; the user theme preference field is added by UI-04 if absent","n/a - ADR-021 records the decision; tokens, the theme initialiser and the icon system are UI-04","n/a - no route added, changed or removed","n/a - no permission key or policy altered","n/a - no token, theme or component code changed in UI-00","n/a","none","UiSourceContractTest","Decision adopted and recorded; no theme behaviour changed. Carries ADR-009 brand contrast tokens forward rather than replacing them. Owned by UI-04, release-audited by UI-16","architecture_adopted","docs/architecture/adr/0021-design-tokens-light-mode-default-dark-mode-persistence.md; docs/proof/ui-00.md; UI-00 CLOSURE (reconciled live on the phase-ui-01-as-built-browser-audit branch): PR #50 MERGED into main as squash commit d3f6e10c1ff9490bc558199940f76fbec9497272; final PR head c09adbaf479d62e5db839ca6dd99fd42d31df57b; squash parent db3827be40194c4a3905679e5d182f014113641b; merged 2026-07-29T06:35:40Z; final CI run 30425113792 with all five required checks SUCCESS; governance comment 5114064349; reviewDecision blank under the PR-specific solo-maintainer exception with 0 submitted reviews - NOT independent reviewer approval"
"UI plan §8.8, §17.2-§17.4","SRV-UI-CONTENT-002","Static content and legal documents are compiled by a deterministic build step that validates expected role files, computes source hashes, sanitizes permitted Markdown, preserves legal text verbatim, produces typed artifacts and fails on missing files, duplicate role mappings and unsafe raw HTML","UI-00","n/a - architecture adopted only; no schema exists by design","n/a - ADR-022 records the decision; the compiler is UI-05","n/a - no route added, changed or removed","n/a - no permission key or policy altered","n/a - the Phase 24 per-role lazy content split in resources/spa/src/content/roleDocuments.ts is unchanged and is not redone","n/a","none","UiSourceContractTest","Decision adopted and recorded; no compiler exists yet by design. Legal source bytes were not modified in UI-00 and hashes are recorded for source-to-generated parity, deliberately NOT as a freeze that would block reviewed legal changes. Owned by UI-05","architecture_adopted","docs/architecture/adr/0022-static-content-and-legal-document-compilation.md; docs/proof/ui-00.md; UI-00 CLOSURE (reconciled live on the phase-ui-01-as-built-browser-audit branch): PR #50 MERGED into main as squash commit d3f6e10c1ff9490bc558199940f76fbec9497272; final PR head c09adbaf479d62e5db839ca6dd99fd42d31df57b; squash parent db3827be40194c4a3905679e5d182f014113641b; merged 2026-07-29T06:35:40Z; final CI run 30425113792 with all five required checks SUCCESS; governance comment 5114064349; reviewDecision blank under the PR-specific solo-maintainer exception with 0 submitted reviews - NOT independent reviewer approval"
"UI plan §8.7, §22.2","SRV-UI-ASSET-002","Landing images are selected through a typed reviewed manifest recording account key, source file, section, alternative text, dimensions, aspect ratio, focal position, per-breakpoint crops, loading strategy, derivative paths and approval status, using approximately two to four supplied images per landing page","UI-00","n/a - architecture adopted only; no schema exists by design","n/a - ADR-023 records the decision; the manifest and derivative pipeline are UI-05/UI-06","n/a - no route added, changed or removed","n/a - no permission key or policy altered","n/a - no image was selected, cropped, optimised, altered or rendered in UI-00","n/a","none","UiSourceContractTest","Decision adopted and recorded. The 61 supplied source images are inventoried; no selection manifest exists and its absence is asserted, because the curated production selection belongs to UI-05/UI-06","architecture_adopted","docs/architecture/adr/0023-role-specific-landing-image-manifest.md; docs/frontend/source-inventory/landing-images.json; docs/proof/ui-00.md; UI-00 CLOSURE (reconciled live on the phase-ui-01-as-built-browser-audit branch): PR #50 MERGED into main as squash commit d3f6e10c1ff9490bc558199940f76fbec9497272; final PR head c09adbaf479d62e5db839ca6dd99fd42d31df57b; squash parent db3827be40194c4a3905679e5d182f014113641b; merged 2026-07-29T06:35:40Z; final CI run 30425113792 with all five required checks SUCCESS; governance comment 5114064349; reviewDecision blank under the PR-specific solo-maintainer exception with 0 submitted reviews - NOT independent reviewer approval"
"UI plan §11.1-§11.4, §13.6","SRV-UI-FOOTER-001","The fixed footer carries the theme control, Citrus Labs social and corporate links, copyright and the four legal/support links, and the layout reserves its block size so it never obstructs primary actions, form fields, validation messages, pagination, table records, mobile safe areas, focused controls, toasts or modal controls","UI-00","n/a - architecture adopted only; no schema exists by design","n/a - ADR-024 records the decision; the shell and footer component are UI-04","n/a - no route added, changed or removed","n/a - no permission key or policy altered","n/a - no layout or component changed in UI-00","n/a","none","UiSourceContractTest","Decision adopted and recorded; one responsive token drives both the footer height and the reserved layout track so the two cannot drift. External links require rel=noopener noreferrer. Owned by UI-04, release-audited by UI-16","architecture_adopted","docs/architecture/adr/0024-fixed-footer-layout-and-obstruction-prevention.md; docs/proof/ui-00.md; UI-00 CLOSURE (reconciled live on the phase-ui-01-as-built-browser-audit branch): PR #50 MERGED into main as squash commit d3f6e10c1ff9490bc558199940f76fbec9497272; final PR head c09adbaf479d62e5db839ca6dd99fd42d31df57b; squash parent db3827be40194c4a3905679e5d182f014113641b; merged 2026-07-29T06:35:40Z; final CI run 30425113792 with all five required checks SUCCESS; governance comment 5114064349; reviewDecision blank under the PR-specific solo-maintainer exception with 0 submitted reviews - NOT independent reviewer approval"
"UI plan §1.1, §1.5, §21.5-§21.7, §26","SRV-UI-PROOF-001","Browser proof is required and provenanced (served commit, Vite asset hashes, Docker image, service-worker state); reviewed visual-regression baselines cover the shells, states and representative pages in both themes; a snapshot update is a reviewed change and never a convenience regeneration","UI-00","n/a - architecture adopted only; no schema exists by design","n/a - ADR-025 records the decision; baselines are UI-01 and UI-16","n/a - no route added, changed or removed","n/a - no permission key or policy altered; captures use seeded demo tenants only and may never contain a token, cookie, full payment reference or credential","n/a - no screenshot or baseline captured in UI-00","n/a","none","UiSourceContractTest","Decision adopted and recorded; no baseline captured. UI-01 owns the as-built browser audit and provenance capture; UI-16 owns the reviewed baselines. Playwright jobs must not run concurrently on the development host (constraint recorded in Phase 23)","architecture_adopted","docs/architecture/adr/0025-visual-regression-and-browser-proof-policy.md; docs/proof/ui-00.md; UI-00 CLOSURE (reconciled live on the phase-ui-01-as-built-browser-audit branch): PR #50 MERGED into main as squash commit d3f6e10c1ff9490bc558199940f76fbec9497272; final PR head c09adbaf479d62e5db839ca6dd99fd42d31df57b; squash parent db3827be40194c4a3905679e5d182f014113641b; merged 2026-07-29T06:35:40Z; final CI run 30425113792 with all five required checks SUCCESS; governance comment 5114064349; reviewDecision blank under the PR-specific solo-maintainer exception with 0 submitted reviews - NOT independent reviewer approval"
"UI plan §25 Phase UI-01","SRV-UI-AUDIT-001","As-built browser and repository audit: prove the served commit, Vite asset hashes, Docker image and service-worker state, audit routes, components, navigation, page inventory, role resolution, theme, assets and legal content, capture baseline screenshots and create a defect register using the Bug Fix Protocol","UI-01","n/a - audit phase; UI-01 added no migration and no schema change","scripts/audit-ui-as-built.mjs (deterministic collector with --capture, default and --check modes)","n/a - the audit adds no route; the built shell, its emitted assets and the served origin were probed, never modified","n/a - the audit changes no permission key, policy, tenant scope, branch scope or step-up rule; the cross-role surface exposure it found (UI01-ROLE-001) is recorded open and owned by UI-03","n/a - no runtime component, layout, router file, theme initialiser, brand asset or legal document was modified; no corrective product code is included","n/a","none","Ui01AuditContractTest;ui-01-as-built-audit.spec;UiSourceContractTest;Phase23TraceabilityTest","Served-build provenance proven end to end: commit d3f6e10, tree 360278d, Vite manifest sha256 43a1608a byte-identical between the local Node 24 build and the node:20-alpine production image, 259 emitted assets, no service worker and no Cache Storage. 123 implementation claims classified 95 true / 4 false / 1 unreachable / 0 stale / 23 not_claimed; all 160 required contract pages reconciled at 42 claimed_by_route and 118 not_claimed; navigation placement matches the contract for all eight accounts with zero registry-versus-fixture drift and zero dead links; 141 baseline screenshots captured across seven widths in both themes with per-image SHA-256 and provenance; 27 defects recorded, all open, each with a future owner phase and acceptance test","verified_complete","docs/proof/ui-01.md; docs/frontend/audits/ui-01/ (README.md, audit-manifest.json, served-build-provenance.json, route-component-page-audit.json, navigation-role-audit.json, theme-asset-legal-audit.json, baseline-screenshot-manifest.json, defect-register.csv); docs/proof/ui-01/network/ (environment-capture.json, browser-evidence.json); docs/proof/ui-01/screenshots/ PHASE UI-01 CLOSURE (reconciled live on the phase-ui-02-multi-host-foundation branch): PR #51 MERGED into main as squash commit 413c1466be96373a408954c3813b982241b25273 (sole parent d3f6e10c1ff9490bc558199940f76fbec9497272 = the UI-00 PR #50 merge; final PR head 5c52372e78088ebeb23bcb7d98bbc0d750681149; source tree == merge tree e00866fa7839e242baf5b23fc6782413948ea7ff; head branch phase-ui-01-as-built-browser-audit; merged 2026-07-29T12:33:28Z); final CI run 30450612654 conclusion success with all five required checks SUCCESS (Backend - Pint/Larastan/Pest; Frontend - ESLint/vue-tsc/Vitest/build; Docker - build images; Security - gitleaks; E2E - Playwright); governance comment 5117766612 present exactly once; reviewDecision blank with 0 submitted reviews - NOT independent reviewer approval; local and remote UI-01 branches deleted. The 27 audited defects remain open with their original owner phases except the four UI-02 closes - see SRV-UI-HOST-RUNTIME-001."
"UI plan §4.1-§4.7, §6.2, §18.5; ADR-016, ADR-017","SRV-UI-HOST-RUNTIME-001","Multi-host runtime foundation: eight canonical account hosts served by one application, exact-allowlist host resolution with safe unknown-host denial, allowlist-backed URL generation, a server-resolved account context delivered to the SPA, and a deployed serving contract in which every approved host returns the Servana shell with loadable fingerprinted chunks and approved brand assets","UI-02","none - UI-02 added no migration, table, column, index or trigger","config/account-hosts.json (single authority); config/account_hosts.php; app/Http/Hosts/AccountHostRegistry, AccountHostResolver, AccountHostUrlGenerator, AccountHost; app/Http/Middleware/ResolveAccountHost; app/Http/Controllers/SpaShellController; scripts/generate-account-hosts.mjs; scripts/ui02-host-smoke.mjs","GET / (spa.shell, browser SPA shell on the resolved account host); GET /health/host (host-context probe) - no /api/v1 route added, changed or removed","n/a - no permission key, policy, gate, tenant scope, branch scope, own-scope rule, masking rule, maker/checker rule, MFA or step-up requirement added or altered; the host is never an input to any of them (ADR-017, proven by AccountHostDoesNotAuthorizeTest)","spa.shell / resources/views/spa.blade.php + resources/spa/src/host/accountHostContext.ts + accountHosts.generated.ts + pages/public/PublicLandingPage.vue and layouts/PublicLandingLayout.vue (the account public landing page; Phase UI-06 replaced the foundation-only surface, and an unresolvable context still renders the fail-closed boundary)","n/a - no queue or scheduled task added","none - no audit event added or changed","AccountHostResolutionTest;AccountHostDoesNotAuthorizeTest;AccountHostRegistryParityTest;AccountHostUrlGeneratorTest;AccountHostShellContractTest;MachineRoutesIgnoreBrowserAccountContextTest;accountHostContext.spec;PublicPages.spec;Ui06LandingContractTest","Host smoke matrix run against the real Nginx + PHP production serving topology (not vite preview): all 8 approved hosts return 200 with the Servana shell and the correct account key, entry JS 200 application/javascript with immutable caching, entry CSS 200 text/css, favicon.ico and Logo.png 200, Logo.svg 404, /spa/ 301 to the same-host root, /health/host 200; 4 unknown/deceptive hosts refused by connection close; machine host serves /health 200 but / 404. Eight focused screenshots captured via Chromium --host-resolver-rules with no hosts-file edit. Closes UI01-PROV-001, UI01-PROV-002, UI01-HOST-001 and UI01-ASSET-005; UI01-PROV-003 (preview-origin browser suite) stays open for UI-16. Phase UI-06: the same fail-closed behaviour is re-proven on the real landing, FAQ and legal pages — a missing, malformed, unknown or mismatched context renders the boundary and loads no account content at all","verified_complete","docs/proof/ui-02.md; docs/frontend/audits/ui-02/ (host-matrix.json, served-build-provenance.json, defect-closure.json, screenshot-index.json, screenshots/); docs/frontend/hosts/local-account-hosts.md. PHASE UI-02 CLOSURE (reconciled live on the phase-ui-03-auth-session-account-switching branch): PR #52 MERGED into main as squash commit fb64ba67c8555ab68aff4f64d97a4d10e4eeab0f (sole parent 413c1466be96373a408954c3813b982241b25273 = the UI-01 PR #51 merge; implementation commit db3ace4912acd569433216db137671a672276033; final PR head 5add80c41a9f59c9350b148ef95aaa260a486cd7 with subject ci: build SPA before backend shell tests - a tested CI-contract correction touching only .github/workflows/ci.yml, NOT a governance-only commit; source tree == merge tree 442ed1df21bf35fafb949e69bd256f884624d38d; head branch phase-ui-02-multi-host-foundation; merged 2026-07-30T10:38:01Z); final CI run 30532318808 attempt 1 conclusion success with all five required checks SUCCESS (Backend - Pint/Larastan/Pest; Frontend - ESLint/vue-tsc/Vitest/build; Docker - build images; Security - gitleaks; E2E - Playwright); governance comment 5129527972 present exactly once; reviewDecision blank with 0 submitted reviews - NOT independent reviewer approval; local and remote UI-02 branches deleted. UI01-PROV-001, UI01-PROV-002, UI01-HOST-001 and UI01-ASSET-005 are promoted to verified_complete in docs/frontend/audits/ui-02/defect-closure.json; the historical UI-01 register is unchanged"
"UI plan §5.1, §18.5; ADR-019","SRV-UI-AUTH-HOST-001","Every Magic Link is bound at issue and re-verified at consume to normalized email, user, account type, intended host, environment, safe post-auth redirect, audience, expiry and single-use state; a modified host, account, environment or redirect invalidates the link with a uniform, non-enumerating failure","UI-03","magic_login_tokens expand-only columns user_id, account_key, intended_host, environment, redirect_path, audience; CHECK constraints magic_login_tokens_account_key_check, _environment_check, _audience_check and _binding_complete_check (a row that is still usable must be fully bound); indexes (user_id) and (account_key, environment)","MagicLinkTokenService::issue/consume/classifyFailure; RequestMagicLink; ConsumeMagicLink; MagicLinkBinding; MagicLinkConsumeResult; AccountContextResolver; AccountHostUrlGenerator; MagicLoginLinkNotification","POST /api/v1/auth/magic-link; POST /api/v1/auth/magic-link/verify (both behind ResolveAccountHost)","n/a - no permission key, policy or scope added or altered; host binding is an anti-substitution control on the credential, never a grant (ADR-017)","auth.login / auth.verify (existing SPA screens; no new authenticated page)","mail queue (existing branded notification)","auth.magic_link.host_binding_rejected;auth.magic_link.environment_binding_rejected;login_link_requested;login_link_denied;login_link_failed;login_success","MagicLinkHostBindingTest;MagicLinkConsumeTest;ReusedMagicLinkTest;ExpiredMagicLinkTest;MagicLinkRevocationTest;MagicLinkTokenSecurityTest;NoAccountEnumerationTest;SessionSchemaContractTest","Correct-host sign-in proven for all eight accounts; the same link refused on all 23 other approved hosts with byte-identical bodies; account, environment and redirect substitution refused; the emailed URL comes from the registry under a poisoned X-Forwarded-Host; only the SHA-256 hash is stored and the raw token appears in no attribute, log or audit row. Deployed-origin browser evidence CAPTURED: 47 observations / 0 failures against the built production nginx + PHP images with a real PostgreSQL database and real host-only cookies (scripts/ui03-auth-browser-proof.mjs)","verified_complete","docs/proof/ui-03.md; docs/security/ui-03-auth-session-threat-model.md (TM-01 to TM-04, TM-13, TM-14); docs/architecture/data-dictionary/sessions-and-account-switching.md; PR #53 MERGED as the regular merge commit 00c9c1e0025e3979464691be662915ada872cc18 (parents fb64ba67… then 182f2cca…, four reviewed commits preserved), merged 2026-08-01T07:08:07Z, CI run 30688440846 attempt 1 with five required jobs SUCCESS (backend 3108 passed / 5 skipped / 0 failed), governance comment 5150328091, reviewDecision blank with 0 submitted reviews (not independent approval), branches deleted; reconciled live on branch phase-ui-04-design-system-shared-components"
"UI plan §5.2; ADR-018","SRV-UI-SESSION-FAMILY-001","Host-scoped browser sessions linked by a server-side session family, so global logout, user suspension, merchant suspension, membership removal, role change and branch removal revoke across every account host at once, and a user can inspect and revoke their own sessions","UI-03","session_families and host_sessions (identity-owned, EXEMPT in TenantOwnership with written rationales); CHECK constraints for the environment and revocation-reason vocabularies, revocation consistency, the platform-has-no-merchant rule and branch-requires-merchant; unique (session_id); indexes on (user_id, revoked_at), (session_family_id, revoked_at), (merchant_id, revoked_at), (branch_id, revoked_at), (merchant_user_id, revoked_at)","SessionFamilyService (startFamily, bindHostSession, revokeHostSession, revokeFamily, revokeFamiliesForUser, revokeForMerchant, revokeForMembership, revokeForBranch); AccessRevocationService extended (single entry point, delegates); StaffLifecycleService branch-assignment hook; SessionRevocationReason","GET /api/v1/auth/sessions; DELETE /api/v1/auth/sessions/{hostSession}; POST /api/v1/auth/logout-all; POST /api/v1/auth/logout (extended)","n/a - no permission key added; authorization is OWNERSHIP (every query filtered by the authenticated user_id, a foreign session ULID returns 404). Cross-user administrative session management is recorded as a BLOCKED DECISION - no canonical permission authority exists and UI-03 does not invent one","SvAccountContextSwitcher.vue and AccessDenied.vue (UI-04 replaced the UI-03 minimal switch control; the security contract is unchanged)","n/a - no queue or scheduled task added; handoff pruning is a documented retention strategy","auth.session_family.created;auth.session_family.revoked;auth.host_session.created;auth.host_session.revoked;auth.global_logout","CrossHostRevocationTest;SessionSchemaContractTest;MagicLinkHostBindingTest;MidSessionSuspensionTest;StaffLifecycleRevocationTest;SessionRevocationTest","Revocation proven by the ABSENCE of the underlying row in Laravel's database session store, not by a revoked_at stamp; narrow revocations proven not to over-revoke (a context in another merchant, and a second branch, both survive); idempotent repeat revocation; no permission-shaped column exists on any session table. Deployed-origin browser evidence CAPTURED: 47 observations / 0 failures against the built production nginx + PHP images with a real PostgreSQL database and real host-only cookies (scripts/ui03-auth-browser-proof.mjs)","verified_complete","docs/proof/ui-03.md; docs/security/ui-03-auth-session-threat-model.md (TM-06, TM-20); docs/architecture/data-dictionary/sessions-and-account-switching.md; PR #53 MERGED as the regular merge commit 00c9c1e0025e3979464691be662915ada872cc18 (parents fb64ba67… then 182f2cca…, four reviewed commits preserved), merged 2026-08-01T07:08:07Z, CI run 30688440846 attempt 1 with five required jobs SUCCESS (backend 3108 passed / 5 skipped / 0 failed), governance comment 5150328091, reviewDecision blank with 0 submitted reviews (not independent approval), branches deleted; reconciled live on branch phase-ui-04-design-system-shared-components"
"UI plan §5.3, §5.4; ADR-018","SRV-UI-CONTEXT-SWITCH-001","Account-context switching mints a single-use, short-lived, hashed handoff bound to user, source family, target account, target host, environment and safe route; the target host re-evaluates membership, role, permission, tenant, branch, MFA and user state from the database and creates a session carrying ONLY the target context, never the source permission set","UI-03","account_context_handoffs (identity-owned, EXEMPT in TenantOwnership); unique (token_hash); CHECK constraints for the account and environment vocabularies, the rejection-reason vocabulary, expires_at > created_at, not-both-consumed-and-invalidated, invalidation consistency, platform-has-no-merchant and branch-requires-merchant; indexes on (user_id, consumed_at), (expires_at), (source_session_family_id)","ContextHandoffService (issue, consume with SELECT FOR UPDATE plus a conditional single-use update, prune); AccountContextResolver; AccountContextIdentifier (opaque HMAC); AccountContext; BranchContext; HandoffConsumeResult; HandoffRejectionReason; ContextSwitchController","GET /api/v1/auth/account-contexts; POST /api/v1/auth/account-contexts/switch; GET /auth/switch (web route on the target host, deliberately outside OpenAPI - a top-level browser navigation is required for the target host-only cookie to be set)","n/a - no permission key added; the browser submits only an opaque server-issued context id validated by membership of the freshly derived list, and no role, permission, merchant, branch, host or MFA field is accepted from the client","accountContextStore.ts; SvAccountContextSwitcher.vue; AccessDenied.vue (access-denied); requiresAccount route guard on /platform","n/a - retention prune documented; no scheduled task added in UI-03","auth.account_contexts.viewed;auth.context_handoff.issued;auth.context_handoff.consumed;auth.context_handoff.rejected;auth.context_handoff.replay_rejected;auth.account_deep_link.rejected","ContextHandoffTest;SessionSchemaContractTest;accountContextStore.spec;accountRouteGuard.spec;AccountHostDoesNotAuthorizeTest","Target session proven to carry the target membership while the source session keeps its own; replay, expiry, wrong target host, wrong environment, revoked family, revoked source session, removed membership, changed role, withdrawn branch assignment and suspended user all rejected; two concurrent consumes yield exactly one target session; unsafe deep links dropped rather than followed; the raw token, IP and user agent appear in no stored attribute. UI01-ROLE-001 closed locally: the seven merchant accounts are denied the platform surface even on the platform host. Deployed-origin browser evidence CAPTURED: 47 observations / 0 failures against the built production nginx + PHP images with a real PostgreSQL database and real host-only cookies (scripts/ui03-auth-browser-proof.mjs)","verified_complete","docs/proof/ui-03.md; docs/security/ui-03-auth-session-threat-model.md (TM-07 to TM-12, TM-15, TM-19); docs/frontend/audits/ui-03/defect-closure.json; docs/architecture/data-dictionary/sessions-and-account-switching.md; PR #53 MERGED as the regular merge commit 00c9c1e0025e3979464691be662915ada872cc18 (parents fb64ba67… then 182f2cca…, four reviewed commits preserved), merged 2026-08-01T07:08:07Z, CI run 30688440846 attempt 1 with five required jobs SUCCESS (backend 3108 passed / 5 skipped / 0 failed), governance comment 5150328091, reviewDecision blank with 0 submitted reviews (not independent approval), branches deleted; reconciled live on branch phase-ui-04-design-system-shared-components"
"UI plan §9.2, §9.6; ADR-021","SRV-UI-DESIGN-TOKENS-001","One canonical design-token authority with deterministic generation: brand palette, semantic colour with an explicit value in BOTH themes, component tokens, typography and the binding breakpoint contract, consumed by CSS custom properties and Tailwind rather than duplicated","UI-04","n/a - no database object; the authority is resources/spa/src/design-system/tokens.json","scripts/generate-design-tokens.mjs (schema validation, duplicate rejection, computed WCAG contrast, --check); scripts/generate-ui04-artifacts.mjs","n/a - no API surface","n/a - no permission key, policy or scope; tokens carry no authority","resources/spa/src/styles/generated/tokens.css; resources/spa/src/design-system/tokens.generated.ts; tailwind.config.ts","n/a - no queue or scheduled task","n/a - no audit event; a token change is not an authority change","DesignTokenSchemaTest;DesignTokenGenerationTest;DesignTokenContrastTest;DesignTokenSourceGuardTest","48 palette, 48 semantic x 2 themes, 62 component tokens, 35 contrast requirements computed in BOTH themes. The contrast gate caught three real failures on its first run and produced a separate color-border-input token held to WCAG 1.4.11 3:1. A raw-value source guard with negative controls fails the build on any hex outside the authority; it found UI04-TOKEN-001 (16 live undefined-variable fallbacks across 14 pages)","verified_complete","docs/proof/ui-04.md; docs/frontend/design-system/; docs/frontend/audits/ui-04/; UI-04 CLOSURE (reconciled on the phase-ui-05-content-asset-pipeline branch): PR #54 MERGED into main as squash commit e6afe832fa9b45c4f452bcd43e19338ac87bfd9a (single parent 00c9c1e0025e3979464691be662915ada872cc18); reviewed head cf36cee837fa5f724a9e0d8b3018c9c868ce6697 with tree bd6728fb3f37b1fc1113ed07f087e62bd15a46e6 identical to the merge tree; mergedAt 2026-08-02T13:37:16Z; final CI run 30748616089 - Backend, Frontend, Docker, Security and E2E all successful; the earlier run 30746233065 failed only on a verified gitleaks false positive (a reproducible SHA-256 design-token digest) closed by one exact fingerprint in .gitleaksignore; governance comment 5158172398 records the product-owner approval of the #FDBA74 hover value and a solo-maintainer exception with 0 submitted reviews, 0 approving and a blank reviewDecision - not independent approval; both UI-04 branch refs deleted; all thirteen UI-04 closures promoted to verified_complete in docs/frontend/audits/ui-04/defect-closure.json"
"UI plan §12; ADR-021","SRV-UI-THEME-RUNTIME-001","Light is the clean-browser default and the operating-system colour scheme never selects the theme; an explicit choice persists per browser when anonymous and to the user record when authenticated, applied before the authenticated shell becomes visible and with no flash","UI-04","users.theme_preference varchar(5) NULL with CHECK (theme_preference IS NULL OR theme_preference IN (light,dark)); expand-only migration 2026_08_01_000001; nullable with NO default so absence of a choice stays distinguishable from choosing light","App\Domain\Auth\Enums\ThemePreference; User::resolvedTheme(); SpaShellController::themePreference(); themeStore (resolveInitial, adoptServerPreference, forgetUserPreference)","PATCH /api/v1/auth/preferences; GET /api/v1/me extended with user.theme_preference and user.resolved_theme","n/a - no permission key added; authorization is OWNERSHIP (the subject is $request->user() and the request contract carries no user identifier). Cross-user preference administration does not exist and is not implied","themeStore.ts; SvThemeToggle.vue; resources/spa/index.html and resources/views/spa.blade.php pre-hydration bootstrap (byte-identical)","n/a - no queue or scheduled task","n/a - no audit event; a display preference carries no authority and is not audited, consistent with the other self-service preference-shaped changes in this codebase","ThemePreferenceApiTest;AccountHostShellContractTest;DesignTokenGenerationTest;themeStore.spec;ui-04-design-system.spec","A clean Chromium context with colorScheme dark renders LIGHT, and the store is proven never to CALL matchMedia at all. 19 scenarios recorded in docs/frontend/audits/ui-04/theme-matrix.json. The closed light|dark vocabulary is enforced at the enum, the Form Request and a database CHECK, so system/auto is unrepresentable. Closes UI01-THEME-001","verified_complete","docs/proof/ui-04.md; docs/frontend/design-system/; docs/frontend/audits/ui-04/; UI-04 CLOSURE (reconciled on the phase-ui-05-content-asset-pipeline branch): PR #54 MERGED into main as squash commit e6afe832fa9b45c4f452bcd43e19338ac87bfd9a (single parent 00c9c1e0025e3979464691be662915ada872cc18); reviewed head cf36cee837fa5f724a9e0d8b3018c9c868ce6697 with tree bd6728fb3f37b1fc1113ed07f087e62bd15a46e6 identical to the merge tree; mergedAt 2026-08-02T13:37:16Z; final CI run 30748616089 - Backend, Frontend, Docker, Security and E2E all successful; the earlier run 30746233065 failed only on a verified gitleaks false positive (a reproducible SHA-256 design-token digest) closed by one exact fingerprint in .gitleaksignore; governance comment 5158172398 records the product-owner approval of the #FDBA74 hover value and a solo-maintainer exception with 0 submitted reviews, 0 approving and a blank reviewDecision - not independent approval; both UI-04 branch refs deleted; all thirteen UI-04 closures promoted to verified_complete in docs/frontend/audits/ui-04/defect-closure.json"
